score,fa_atr,fa_rep,fa_sol,fa_intra_atr_xover4,fa_intra_rep_xover4,fa_intra_sol_xover4,lk_ball,lk_ball_iso,lk_ball_bridge,lk_ball_bridge_uncpl,fa_elec,fa_intra_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,omega,fa_dun_dev,fa_dun_rot,fa_dun_semi,p_aa_pp,hxl_tors,ref,rama_prepro,RAMA,RMSD,ala_count,ala_count_helix,ala_count_sheet,aromatic_count,bb,buried_over_exposed,cavity_threshold,contact_core,core_number,cys_count,degree_core,entropy,exposed_is_np,match_probability,mean_sasa,pack_threshold,percent_core,score_res,unsat_hbond,time,description
-134.929,-271.662,24.515,216.445,-18.534,7.44,12.706,113.225,-116.581,-1.153,-2.863,-112.232,-20.42,0.204,-20.526,-19.94,-7.475,-11.168,-1.078,3.53,3.138,26.085,43.107,-14.754,9.878,23.492,-0.305,-7.94,1.328,4.0,2.0,1.0,4.0,-0.363,3.076,0.0,165.0,1.0,2.0,9.774,4.139,0.54,0.909,71.741,0.281,0.963,-2.469,4.0,569.0,siteIV_bb1_.1232
-124.348,-258.123,24.139,197.706,-15.97,7.41,11.576,107.535,-110.502,-0.919,-2.987,-96.692,-20.296,0.227,-18.711,-20.804,-3.625,-7.711,-1.03,6.301,3.938,24.22,36.669,-16.707,8.865,24.07,-2.927,-8.709,1.277,5.0,4.0,0.0,2.0,-0.378,3.135,0.0,131.0,1.0,2.0,9.943,4.139,0.513,0.8,72.677,0.349,0.963,-2.355,3.0,515.0,siteIV_bb1_.424
-123.36,-261.439,26.269,189.055,-16.563,9.634,11.206,102.419,-106.839,-0.558,-1.701,-89.206,-16.294,0.384,-21.09,-20.655,-2.845,-2.855,-1.191,1.474,2.976,30.119,31.797,-17.77,8.704,20.173,1.439,-7.706,1.439,5.0,3.0,0.0,1.0,-0.376,2.995,0.0,128.0,1.0,2.0,10.0,4.139,0.56,0.8,72.325,0.3,0.963,-2.247,5.0,513.0,siteIV_bb1_.1142
-119.52,-254.625,25.898,192.516,-15.251,7.54,11.177,103.816,-108.943,-0.992,-2.615,-93.384,-20.058,0.613,-18.809,-18.004,-4.085,-6.487,-1.115,6.683,3.421,26.62,31.475,-14.672,8.384,20.679,0.699,-7.902,1.421,6.0,3.0,1.0,1.0,-0.327,3.038,0.0,97.0,1.0,2.0,9.887,4.139,0.542,0.818,70.764,0.337,0.963,-2.221,6.0,477.0,siteIV_bb1_.1289
-117.437,-261.621,27.011,199.474,-17.763,9.643,14.091,110.378,-111.747,-1.346,-2.748,-98.388,-22.849,0.229,-20.887,-20.496,-4.912,-5.094,-1.093,4.539,3.511,26.189,39.342,-16.349,8.748,25.73,-1.027,-8.377,1.488,4.0,2.0,0.0,1.0,-0.373,2.904,38.591,123.0,1.0,2.0,9.698,4.139,0.575,0.818,70.868,0.348,0.963,-2.174,4.0,480.0,siteIV_bb1_.192
-115.559,-261.327,26.803,224.4,-17.271,8.396,15.253,112.809,-118.483,-1.111,-2.564,-112.516,-19.921,0.198,-21.336,-18.143,-6.838,-11.645,-0.997,5.144,5.579,24.683,47.673,-16.696,8.148,17.234,-3.03,-9.286,1.47,5.0,3.0,0.0,2.0,-0.33,2.842,31.529,105.0,0.8,2.0,9.453,4.139,0.542,0.818,72.695,0.318,0.963,-2.184,6.0,512.0,siteIV_bb1_.1518
-115.544,-249.655,25.009,206.336,-15.596,7.81,13.29,106.796,-111.803,-1.5,-3.646,-101.359,-20.242,0.204,-20.406,-16.974,-2.861,-10.368,-1.002,4.392,5.335,23.367,37.063,-17.609,9.314,24.089,-5.528,-10.21,1.357,7.0,4.0,0.0,2.0,-0.309,2.727,10.279,114.0,0.8,2.0,9.547,4.139,0.566,0.855,71.994,0.344,0.963,-2.21,3.0,517.0,siteIV_bb1_.1331
-115.324,-262.501,26.312,206.146,-16.809,7.795,13.527,104.762,-113.243,-1.164,-3.14,-89.342,-23.993,0.219,-21.549,-19.84,-5.955,-5.954,-1.196,5.365,3.066,25.209,43.599,-16.584,11.167,20.94,-2.16,-8.314,1.409,3.0,1.0,0.0,1.0,-0.361,2.753,32.698,109.0,1.0,2.0,9.566,4.139,0.552,0.818,75.114,0.339,0.963,-2.092,7.0,534.0,siteIV_bb1_.1748
-114.731,-255.693,28.024,202.293,-15.945,8.031,14.02,106.403,-111.74,-1.406,-3.461,-94.423,-24.965,0.207,-23.09,-18.407,-4.061,-8.215,-0.941,7.015,3.644,23.916,42.059,-17.197,8.184,22.012,-0.995,-7.967,1.1,7.0,4.0,1.0,2.0,-0.335,2.995,23.022,112.0,1.0,2.0,9.698,4.139,0.548,0.8,70.554,0.32,0.963,-2.098,7.0,534.0,siteIV_bb1_.2382
-113.057,-245.751,28.583,197.104,-14.138,5.372,11.513,102.603,-108.883,-1.427,-2.616,-100.573,-20.155,0.225,-21.57,-18.516,-5.847,-4.338,-0.909,7.212,3.37,28.328,39.47,-16.065,7.576,15.622,0.752,-7.936,1.387,8.0,4.0,1.0,2.0,-0.337,3.059,0.0,102.0,0.8,2.0,9.509,4.139,0.529,0.855,71.296,0.342,0.963,-2.071,2.0,494.0,siteIV_bb1_.1996
