score,fa_atr,fa_rep,fa_sol,fa_intra_rep,fa_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,rama,omega,fa_dun,p_aa_pp,yhh_planarity,ref,P_ni_disulfides_side,P_ni_mtcontacts,P_ni_rmsd,P_ni_rmsd_threshold,P_ni_trials,ala_count,aroma_count,cys_count,design_score,exposed_hydrophobic,final_rmsd,his_count,met_count,packstat,P_ni_rmsd_type,time,newname
-57.888,-230.174,37.937,111.798,0.842,-21.125,0.045,-6.292,-9.045,-2.553,-3.066,-0.629,-0.326,10.416,75.774,-17.132,0.048,-4.408,0.0,16.0,0.468,2.0,3.0,0.0,7.0,2.0,-57.888,347.744,2.023,0.0,0.0,0.545,no_motif,471.0,S4_1.1.1
-54.326,-232.345,40.918,139.708,0.635,-33.147,0.891,-6.291,-6.791,-3.721,-6.79,-0.415,3.948,7.68,79.787,-22.708,0.002,-15.687,0.0,16.0,0.605,2.0,5.0,2.0,4.0,2.0,-54.326,276.77,2.209,0.0,0.0,0.523,no_motif,579.0,S4_1.1.2
-50.201,-236.131,47.186,125.101,0.66,-36.496,0.105,-5.325,-11.927,-2.512,-4.519,-0.372,4.052,10.112,80.438,-14.783,0.016,-5.806,0.0,12.0,0.566,2.0,3.0,1.0,6.0,2.0,-50.201,263.991,2.299,1.0,0.0,0.601,no_motif,382.0,S4_1.1.3
-49.638,-242.748,36.744,125.375,0.819,-24.261,0.013,-4.892,-7.551,-2.06,-5.403,-0.905,1.072,10.287,89.439,-16.509,0.094,-9.151,0.0,16.0,0.602,2.0,2.0,1.0,9.0,2.0,-49.638,424.921,2.843,0.0,0.0,0.581,no_motif,328.0,S4_1.1.4
-49.613,-223.251,33.64,117.47,0.721,-29.193,0.104,-4.994,-12.854,-1.896,-2.65,-0.06,3.858,11.976,75.069,-16.277,0.239,-1.515,0.0,13.0,0.639,2.0,1.0,0.0,5.0,3.0,-49.613,292.004,1.642,0.0,0.0,0.546,no_motif,139.0,S4_1.1.5
-49.287,-244.885,35.001,126.228,0.758,-25.883,0.042,-3.724,-15.586,-4.107,-1.032,-0.828,-0.041,12.142,84.048,-14.308,0.088,2.801,0.0,15.0,0.677,2.0,1.0,0.0,7.0,3.0,-49.287,554.461,1.352,0.0,0.0,0.6,no_motif,157.0,S4_1.1.6
-49.001,-225.749,32.247,122.212,0.739,-27.389,0.071,-4.311,-14.202,-4.235,-3.527,-0.593,3.877,14.205,73.301,-15.055,0.01,-0.601,0.0,15.0,0.467,2.0,1.0,0.0,5.0,2.0,-49.001,215.146,1.638,0.0,0.0,0.649,no_motif,166.0,S4_1.1.7
-48.982,-239.149,33.11,132.929,0.773,-28.493,0.009,-4.962,-10.886,-3.941,-3.774,-1.124,6.147,11.413,83.348,-14.704,0.179,-9.857,0.0,14.0,0.97,2.0,6.0,1.0,9.0,3.0,-48.982,299.62,2.258,0.0,0.0,0.564,no_motif,684.0,S4_1.1.8
-48.835,-206.003,37.701,103.169,0.631,-20.282,0.164,-2.941,-12.562,-2.11,-2.781,-0.663,3.31,10.464,61.959,-18.765,0.0,-0.126,0.0,14.0,1.087,2.0,4.0,1.0,5.0,2.0,-48.835,299.811,2.737,0.0,0.0,0.589,no_motif,519.0,S4_1.1.9
-48.501,-239.753,35.645,126.369,0.922,-24.201,0.0,-6.862,-10.405,-1.986,-2.642,-0.58,2.205,14.376,75.708,-15.593,0.1,-1.804,0.0,15.0,0.586,2.0,2.0,0.0,8.0,2.0,-48.501,336.796,2.615,0.0,0.0,0.602,no_motif,228.0,S4_1.1.10
-47.746,-237.71,40.996,125.116,1.002,-27.085,1.117,-6.571,-6.36,-5.251,-3.55,1.083,3.994,12.181,77.642,-16.686,0.28,-7.944,0.0,14.0,1.115,2.0,3.0,0.0,8.0,2.0,-47.746,372.173,2.598,0.0,0.0,0.534,no_motif,407.0,S4_1.1.11
-47.524,-225.92,37.944,126.282,0.693,-25.697,0.04,-7.232,-9.006,-3.48,-1.561,-0.308,2.036,9.069,71.896,-17.589,0.034,-4.725,0.0,15.0,0.673,2.0,3.0,1.0,7.0,2.0,-47.524,412.234,2.578,0.0,0.0,0.527,no_motif,357.0,S4_1.1.12
-47.353,-229.107,38.926,122.37,0.808,-24.025,0.047,-7.145,-11.874,-3.488,-1.255,-0.618,0.406,12.156,74.576,-16.605,0.118,-2.643,0.0,15.0,0.489,2.0,5.0,0.0,7.0,3.0,-47.353,348.119,1.698,0.0,0.0,0.504,no_motif,620.0,S4_1.1.13
-47.295,-242.586,39.27,122.429,0.779,-24.035,0.383,-5.184,-13.002,-1.577,-2.053,-0.81,1.533,10.501,80.037,-13.705,0.03,0.693,0.0,15.0,0.499,2.0,1.0,0.0,9.0,3.0,-47.295,396.328,2.309,0.0,0.0,0.666,no_motif,180.0,S4_1.1.14
-46.975,-204.975,26.213,117.838,0.597,-23.271,0.031,-5.63,-8.381,-2.979,-3.043,-0.59,3.632,9.707,66.362,-19.076,0.021,-3.432,0.0,13.0,0.635,2.0,2.0,1.0,6.0,2.0,-46.975,393.333,3.098,0.0,0.0,0.588,no_motif,344.0,S4_1.1.15
-46.899,-241.817,36.631,127.255,0.661,-22.867,0.129,-5.067,-11.958,-1.53,-2.178,-1.158,7.502,11.57,76.031,-16.309,0.029,-3.821,0.0,13.0,0.595,2.0,3.0,1.0,7.0,3.0,-46.899,280.982,2.098,0.0,1.0,0.577,no_motif,377.0,S4_1.1.16
-46.279,-244.45,37.079,134.903,0.749,-27.744,0.06,-4.694,-12.257,-2.675,-3.911,0.464,3.577,13.504,84.42,-15.982,0.232,-9.554,0.0,15.0,0.982,2.0,8.0,0.0,5.0,3.0,-46.279,236.98,1.695,0.0,0.0,0.645,no_motif,1067.0,S4_1.1.17
-45.669,-221.643,36.131,112.24,0.741,-18.663,0.022,-4.629,-12.916,-2.494,-0.912,-0.788,7.2,11.071,63.685,-23.888,0.058,9.117,0.0,11.0,0.666,2.0,5.0,0.0,6.0,3.0,-45.669,494.341,2.187,0.0,0.0,0.531,no_motif,699.0,S4_1.1.18
-45.655,-227.224,31.758,119.139,0.796,-25.355,0.121,-3.383,-14.566,-2.68,-1.997,-0.72,6.757,14.759,84.203,-21.072,0.163,-6.353,0.0,14.0,0.484,2.0,1.0,0.0,10.0,3.0,-45.655,297.019,1.949,0.0,0.0,0.53,no_motif,168.0,S4_1.1.19
-45.532,-202.839,28.81,110.884,0.699,-19.373,0.045,-4.423,-13.518,-2.566,-2.11,-0.513,1.641,7.577,67.632,-17.387,0.02,-0.111,0.0,13.0,0.532,2.0,3.0,1.0,4.0,3.0,-45.532,257.493,1.909,0.0,0.0,0.526,no_motif,401.0,S4_1.1.20
-45.377,-217.17,37.282,132.56,0.614,-29.653,0.075,-8.09,-9.782,-3.093,-5.59,-1.118,3.171,12.071,64.903,-15.479,0.036,-6.115,0.0,16.0,0.574,2.0,1.0,0.0,3.0,3.0,-45.377,221.31,2.631,0.0,0.0,0.539,no_motif,166.0,S4_1.1.21
-45.335,-228.16,36.592,127.088,0.657,-23.925,0.364,-6.061,-8.896,-2.805,-1.18,-0.995,2.77,9.917,71.058,-19.988,0.0,-1.771,0.0,14.0,0.514,2.0,2.0,1.0,5.0,2.0,-45.335,323.801,3.449,0.0,0.0,0.662,no_motif,258.0,S4_1.1.22
-45.297,-240.701,38.203,127.315,0.755,-21.866,0.012,-3.904,-13.034,-3.795,-2.29,-0.828,0.035,13.773,76.455,-17.723,0.145,2.151,0.0,16.0,0.585,2.0,3.0,0.0,11.0,3.0,-45.297,319.518,3.486,0.0,1.0,0.627,no_motif,392.0,S4_1.1.23
-45.117,-227.505,38.088,119.888,0.689,-20.15,0.208,-5.028,-10.199,-4.337,-1.272,-0.985,4.178,12.751,66.932,-18.731,0.019,0.336,0.0,14.0,0.452,2.0,2.0,1.0,7.0,3.0,-45.117,375.281,1.94,0.0,0.0,0.549,no_motif,265.0,S4_1.1.24
-45.062,-226.62,35.313,121.603,0.681,-22.116,0.347,-4.19,-7.603,-5.767,-1.717,-0.525,2.46,10.428,79.674,-20.626,0.125,-6.53,0.0,12.0,0.665,2.0,1.0,0.0,8.0,3.0,-45.062,290.264,2.226,0.0,0.0,0.564,no_motif,220.0,S4_1.1.25
-45.06,-224.357,37.377,119.054,0.763,-23.908,0.137,-1.477,-9.546,-4.512,-2.096,-1.256,6.217,7.318,78.445,-21.871,0.387,-5.736,0.0,15.0,0.617,2.0,6.0,0.0,7.0,3.0,-45.06,279.863,1.991,0.0,0.0,0.506,no_motif,580.0,S4_1.1.26
-45.029,-198.434,33.097,117.489,0.545,-21.662,0.659,-8.335,-8.71,-1.42,-2.25,-0.417,1.432,6.488,60.443,-20.774,0.004,-3.187,0.0,14.0,0.704,2.0,8.0,0.0,3.0,2.0,-45.029,255.208,2.772,0.0,1.0,0.474,no_motif,850.0,S4_1.1.27
-44.916,-237.476,42.801,127.666,0.678,-24.802,0.449,-5.706,-8.609,-3.138,-2.95,-0.942,7.745,12.255,73.34,-19.587,0.237,-6.878,0.0,16.0,1.076,2.0,6.0,0.0,7.0,2.0,-44.916,425.711,3.927,0.0,0.0,0.475,no_motif,693.0,S4_1.1.28
-44.655,-220.91,38.929,129.746,0.656,-25.527,0.258,-2.293,-9.843,-3.239,-5.802,-1.119,2.832,8.052,81.215,-19.432,0.285,-18.462,0.0,15.0,0.506,2.0,4.0,1.0,5.0,2.0,-44.655,277.61,3.044,0.0,0.0,0.514,no_motif,424.0,S4_1.1.29
-44.578,-209.062,26.968,125.712,0.75,-26.546,0.148,-3.789,-7.345,-3.783,-3.457,-0.156,6.471,7.328,68.471,-19.243,0.515,-7.559,0.0,14.0,1.235,2.0,1.0,0.0,5.0,2.0,-44.578,330.782,2.965,0.0,1.0,0.577,no_motif,203.0,S4_1.1.30
